id,age,npset,testirt2,oc_comp,oc_reg,irregular
402,41,5,0.88678247,0,1,reg
403,27,0,-0.2177036,0,0,reg
404,28,0,0.88678247,NA,NA,reg
405,28,1,-0.11297655,NA,NA,reg
406,20,1,0.13725428,0,2,reg
407,37,0,-1.1448131,3,6,reg
408,23,2,-0.75715899,NA,NA,reg
409,24,2,-0.080933593,0,0,reg
410,31,0,0.88678247,0,0,reg
411,25,2,-0.46902493,NA,NA,reg
412,18,0,-0.86220378,0,2,reg
413,29,1,0.30522463,3,3,reg
414,29,0,-0.17162523,0,2,reg
415,14,1,-0.27303874,0,0,reg
416,30,4,0.88678247,4,12,reg
417,51,1,-0.64255184,1,1,irreg
418,29,1,-0.075920001,NA,NA,reg
419,24,0,-0.080933593,1,2,reg
420,NA,8,-0.075920001,4,7,reg
421,26,0,0.30522463,NA,NA,reg
422,NA,0,0.39288607,1,1,reg
423,14,0,0.39288607,0,0,reg
424,28,1,-0.17797375,0,0,reg
425,20,0,-0.3077184,0,0,reg
426,29,0,0.88678247,0,2,reg
427,43,2,0.28331673,5,10,reg
428,43,1,-0.39115804,1,4,reg
429,29,2,-1.3727319,1,1,reg
430,18,0,-1.9696244,0,0,reg
431,24,1,-0.2671169,0,1,reg
432,31,0,0.30522463,2,2,reg
433,24,2,0.38179988,3,5,reg
434,27,0,-0.87610584,0,0,reg
435,24,1,0.88678247,0,1,reg
436,36,0,-0.92775279,0,0,reg
437,36,8,-0.16686191,0,0,reg
438,20,0,-0.43735144,1,2,reg
439,30,5,0.88678247,0,0,reg
440,22,3,0.88678247,1,4,reg
441,NA,2,-0.32802621,3,12,reg
442,32,0,0.25758731,NA,NA,reg
443,24,0,0.30522463,0,0,reg
444,39,1,0.88678247,NA,NA,reg
445,16,0,0.25758731,1,1,reg
446,43,0,0.88678247,0,0,reg
447,24,0,-0.91221964,1,1,reg
448,31,3,0.88678247,0,0,reg
449,NA,1,0.39288607,0,1,reg
450,29,0,-1.7543807,NA,NA,reg
451,22,0,-1.1207806,NA,NA,reg
452,16,8,-2.8655179,1,1,reg
453,26,3,-0.50680459,0,1,reg
454,NA,6,0.88678247,0,1,reg
455,27,2,-1.3194715,0,1,reg
456,69,0,-0.54897928,10,10,reg
457,22,0,0.88678247,2,5,reg
458,29,0,0.30522463,0,0,reg
459,35,3,0.88678247,5,12,reg
460,36,4,0.88678247,0,0,reg
461,19,0,-0.06728372,0,0,reg
462,14,0,0.88678247,0,0,irreg
463,25,1,0.39288607,0,0,reg
464,NA,3,-0.46289659,1,1,reg
465,32,0,-0.072321698,0,0,reg
466,23,2,-0.010241032,NA,NA,reg
467,19,0,0.30522463,NA,NA,irreg
468,24,0,0.30522463,0,0,reg
469,NA,1,0.88678247,0,1,reg
470,25,0,0.88678247,0,0,reg
471,25,6,0.88678247,0,1,reg
472,20,0,0.31142372,0,0,reg
473,48,1,0.88678247,0,0,reg
474,26,0,0.30522463,1,4,reg
475,33,0,0.31142372,0,0,reg
476,29,1,0.88678247,0,1,reg
477,22,0,0.88678247,0,2,reg
478,20,7,0.38179988,0,1,reg
479,17,2,0.14470895,0,0,reg
480,26,0,0.14470895,0,0,reg
481,22,4,0.28331673,0,0,reg
482,27,0,-0.1111121,2,2,reg
483,39,2,0.30522463,0,0,reg
484,35,0,-0.072321698,0,0,reg
485,15,0,0.30522463,NA,NA,reg
486,33,4,0.30522463,1,4,irreg
487,21,6,0.88678247,0,2,reg
488,28,0,0.38179988,NA,NA,reg
489,21,1,0.88678247,1,5,reg
490,26,0,0.88678247,0,0,reg
491,17,0,-0.06728372,0,0,reg
492,56,8,0.88678247,2,2,reg
493,17,1,-0.60280979,0,0,reg
